Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
3840	0.363713	0.0	0.363713	0.363713	1.0	0.0072810035	0.07217096	0.15399803	-0.19313999	0.015201655	0.09609366	0.17908454	-0.238331	-1.3194871	0.29786292	-0.7399385	-2.4096768	-0.2780808	0.053596303	5287.462626457214
3840	0.10447123	0.0	0.10447123	0.10447123	1.0	0.0290064	0.069509685	0.17970482	-0.17732371	0.04146065	0.09209131	0.20876415	-0.28356144	-1.3772874	0.44358307	-0.57576776	-5.1583652	-0.29565814	0.056280665	5288.1255259513855
3840	0.3118289	0.0	0.3118289	0.3118289	1.0	0.009797871	0.07662094	0.16185153	-0.17813323	0.01615468	0.107192	0.19983876	-0.27263552	-1.3191653	0.29296273	-0.54709935	-3.0335026	-0.28811347	0.065375954	5288.823105335236
3840	-0.1360849	0.0	-0.1360849	-0.1360849	1.0	0.031168405	0.07293526	0.15410067	-0.15001045	0.03095736	0.10034709	0.16264617	-0.20081922	-1.3327732	0.2897581	-0.5472019	-2.7705739	-0.30392367	0.06372038	5289.503033876419
3840	-0.1085756	0.0	-0.1085756	-0.1085756	1.0	0.02661583	0.07331061	0.17397457	-0.15828693	0.03214933	0.1047185	0.20454112	-0.2330248	-1.2968003	0.36072853	-0.44697952	-3.1124372	-0.28732985	0.067591116	5290.181982517242
3840	-0.34715	0.0	-0.34715	-0.34715	1.0	0.036355607	0.08367521	0.1769205	-0.16821742	0.038258426	0.107381456	0.20140609	-0.28987256	-1.3064573	0.26114133	-0.44710398	-2.4676044	-0.29056638	0.058520824	5290.839469909668
3840	-0.20934114	0.0	-0.20934114	-0.20934114	1.0	0.036247663	0.07451878	0.19428311	-0.19457357	0.03898457	0.09634496	0.21591586	-0.27195212	-1.3253617	0.39417022	-0.52522063	-3.4863286	-0.28512082	0.053068697	5291.503224372864
3840	-0.15036793	0.0	-0.15036793	-0.15036793	1.0	0.039119966	0.06570795	0.18032981	-0.13322902	0.03950689	0.08959668	0.18243147	-0.23069136	-1.2988307	0.2537443	-0.652266	-2.3258758	-0.29045036	0.05157292	5292.2029621601105
3840	0.24022275	0.0	0.24022275	0.24022275	1.0	0.03280462	0.07464202	0.17259708	-0.1659061	0.023652807	0.101020455	0.21211003	-0.23335516	-1.3217096	0.3071492	-0.26990294	-2.3299615	-0.29141608	0.048412487	5292.876575231552
3840	0.09903666	0.0	0.09903666	0.09903666	1.0	0.023341853	0.075348064	0.17029256	-0.19669744	0.018508263	0.103816986	0.1996264	-0.25378352	-1.335848	0.27820468	-0.65286255	-2.5329604	-0.29180968	0.052909687	5293.548911571503
3840	0.16250339	0.0	0.16250339	0.16250339	1.0	0.03801477	0.07261666	0.18775447	-0.15644148	0.033329003	0.100276075	0.1916158	-0.22816025	-1.3041031	0.26376367	-0.72047555	-2.1532059	-0.28563082	0.05777475	5294.215973377228
3840	0.28831238	0.0	0.28831238	0.28831238	1.0	0.029569669	0.07814305	0.1914136	-0.15654127	0.024253964	0.106275395	0.19312496	-0.25038558	-1.3756452	0.33012533	-0.7073009	-3.3470278	-0.28787202	0.06768031	5294.8843421936035
